timestamp,open,high,low,close,volume
1/10/2020,310.6,312.67,308.25,310.33,35217272
1/13/2020,311.64,317.07,311.15,316.96,30028742
1/14/2020,316.7,317.57,312.17,312.68,40653457
1/15/2020,311.85,315.5,309.55,311.34,30480882
1/16/2020,313.59,315.7,312.09,315.24,27207254
1/17/2020,316.27,318.74,315,318.73,34454117
1/21/2020,317.19,319.02,316,316.57,27235039
1/22/2020,318.58,319.99,317.31,317.7,25458115
1/23/2020,317.92,319.56,315.65,319.23,26117993
1/24/2020,320.25,323.33,317.52,318.31,36634380
1/27/2020,310.06,311.77,304.88,308.95,40485005
1/28/2020,312.6,318.4,312.19,317.69,40558486
1/29/2020,324.45,327.85,321.38,324.34,54149928
